"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","1,215.45","1,208.00","1,219.10","1,206.15","6.41M","0.39%"
"30-12-2024","1,210.70","1,216.40","1,223.20","1,208.10","8.82M","-0.85%"
"27-12-2024","1,221.05","1,218.30","1,227.90","1,217.00","7.00M","0.37%"
"26-12-2024","1,216.55","1,224.25","1,227.70","1,214.25","10.02M","-0.51%"
"24-12-2024","1,222.75","1,222.30","1,233.55","1,221.00","6.73M","0.04%"
"23-12-2024","1,222.30","1,215.00","1,227.20","1,213.20","10.05M","1.41%"
"20-12-2024","1,205.30","1,224.00","1,239.50","1,201.50","20.31M","-2.04%"
"19-12-2024","1,230.45","1,239.00","1,244.90","1,229.00","14.24M","-1.82%"
"18-12-2024","1,253.25","1,240.65","1,259.95","1,240.65","12.67M","0.64%"
"17-12-2024","1,245.30","1,261.05","1,263.90","1,242.80","17.46M","-1.81%"
"16-12-2024","1,268.30","1,275.00","1,281.00","1,266.55","9.49M","-0.36%"
"13-12-2024","1,272.85","1,260.00","1,275.20","1,239.60","28.63M","0.79%"
"12-12-2024","1,262.90","1,270.00","1,278.20","1,260.60","20.91M","-1.20%"
"11-12-2024","1,278.20","1,285.00","1,290.00","1,276.05","11.72M","-0.52%"
"10-12-2024","1,284.85","1,289.25","1,294.90","1,280.20","16.04M","-0.80%"
"09-12-2024","1,295.15","1,303.00","1,315.00","1,293.10","14.65M","-1.25%"
"06-12-2024","1,311.55","1,323.90","1,323.90","1,310.00","9.04M","-0.79%"
"05-12-2024","1,322.05","1,314.35","1,329.95","1,306.15","16.86M","1.00%"
"04-12-2024","1,308.95","1,326.00","1,328.40","1,304.05","19.61M","-1.08%"
"03-12-2024","1,323.30","1,317.00","1,326.80","1,307.00","16.87M","1.08%"
"02-12-2024","1,309.15","1,288.00","1,311.35","1,277.05","11.02M","1.31%"
"29-11-2024","1,292.20","1,280.00","1,299.50","1,275.25","13.20M","1.68%"
"28-11-2024","1,270.80","1,289.95","1,296.60","1,269.05","15.03M","-1.73%"
"27-11-2024","1,293.20","1,293.50","1,303.85","1,286.00","9.57M","-0.19%"
"26-11-2024","1,295.70","1,294.95","1,297.85","1,284.20","9.25M","0.68%"
"25-11-2024","1,287.00","1,290.00","1,304.45","1,282.45","28.92M","1.71%"
"22-11-2024","1,265.40","1,229.40","1,268.85","1,222.45","20.47M","3.47%"
"21-11-2024","1,223.00","1,241.65","1,243.95","1,217.25","19.43M","-1.50%"
"19-11-2024","1,241.65","1,260.75","1,281.50","1,235.15","14.18M","-1.51%"
"18-11-2024","1,260.75","1,267.60","1,272.90","1,243.90","13.62M","-0.54%"
"14-11-2024","1,267.60","1,253.60","1,272.60","1,251.10","12.61M","1.24%"
"13-11-2024","1,252.05","1,270.25","1,275.45","1,249.50","14.63M","-1.74%"
"12-11-2024","1,274.25","1,275.55","1,289.30","1,267.50","10.67M","0.12%"
